time,value
2023-03-28 21:13:31,70
2023-03-28 21:14:03,70
2023-03-28 21:14:13,70
2023-03-28 21:14:18,86
2023-03-28 21:14:23,90
2023-03-28 21:14:28,84
2023-03-28 21:14:33,82
2023-03-28 21:14:38,82
2023-03-28 21:14:48,81
2023-03-28 21:14:53,85
2023-03-28 21:14:58,87
2023-03-28 21:15:04,90
2023-03-28 21:15:09,95
2023-03-28 21:15:14,106
2023-03-28 21:15:19,108
2023-03-28 21:15:24,107
2023-03-28 21:15:29,112
2023-03-28 21:15:34,116
2023-03-28 21:15:39,115
2023-03-28 21:15:44,113
2023-03-28 21:15:49,112
2023-03-28 21:15:54,111
2023-03-28 21:16:09,111
2023-03-28 21:16:14,114
2023-03-28 21:16:29,110
2023-03-28 21:16:34,108
2023-03-28 21:16:39,107
2023-03-28 21:16:44,109
2023-03-28 21:16:49,110
2023-03-28 21:16:54,113
2023-03-28 21:16:59,110
2023-03-28 21:17:04,109
2023-03-28 21:17:09,112
2023-03-28 21:17:14,110
2023-03-28 21:17:19,112
2023-03-28 21:17:24,113
2023-03-28 21:17:29,116
2023-03-28 21:17:34,122
2023-03-28 21:17:49,118
2023-03-28 21:17:54,117
2023-03-28 21:17:59,119
2023-03-28 21:18:04,117
2023-03-28 21:18:09,116
2023-03-28 21:18:19,114
2023-03-28 21:18:34,115
2023-03-28 21:18:38,112
2023-03-28 21:18:43,111
2023-03-28 21:18:48,112
2023-03-28 21:18:53,111
2023-03-28 21:18:58,109
2023-03-28 21:19:08,110
2023-03-28 21:19:13,112
2023-03-28 21:19:18,114
2023-03-28 21:19:33,117
2023-03-28 21:19:48,117
2023-03-28 21:19:53,116
2023-03-28 21:19:58,114
2023-03-28 21:20:03,112
2023-03-28 21:20:08,111
2023-03-28 21:20:13,111
2023-03-28 21:20:28,110
2023-03-28 21:20:33,111
2023-03-28 21:20:38,112
2023-03-28 21:20:43,111
2023-03-28 21:20:48,105
2023-03-28 21:20:53,99
2023-03-28 21:20:58,94
2023-03-28 21:21:03,88
2023-03-28 21:21:08,83
2023-03-28 21:21:13,80
2023-03-28 21:21:23,79
2023-03-28 21:21:28,77
2023-03-28 21:21:33,76
2023-03-28 21:21:38,82
2023-03-28 21:21:43,88
2023-03-28 21:21:48,96
2023-03-28 21:21:53,98
2023-03-28 21:21:58,99
2023-03-28 21:22:03,100
2023-03-28 21:22:18,100
2023-03-28 21:22:23,103
2023-03-28 21:22:28,101
2023-03-28 21:22:33,98
2023-03-28 21:22:38,100
2023-03-28 21:22:43,105
2023-03-28 21:22:53,104
2023-03-28 21:22:58,109
2023-03-28 21:23:08,111
2023-03-28 21:23:13,113
2023-03-28 21:23:18,115
2023-03-28 21:23:28,116
2023-03-28 21:23:33,118
2023-03-28 21:23:38,119
2023-03-28 21:23:43,122
2023-03-28 21:23:48,125
2023-03-28 21:23:53,127
2023-03-28 21:23:58,128
2023-03-28 21:24:03,129
2023-03-28 21:24:08,132
2023-03-28 21:24:23,138
2023-03-28 21:24:28,134
2023-03-28 21:24:33,128
2023-03-28 21:24:38,127
2023-03-28 21:24:43,126
2023-03-28 21:24:48,122
2023-03-28 21:24:53,123
2023-03-28 21:24:58,126
2023-03-28 21:25:03,125
2023-03-28 21:25:08,124
2023-03-28 21:25:13,123
2023-03-28 21:25:18,122
2023-03-28 21:25:23,123
2023-03-28 21:25:28,126
2023-03-28 21:25:33,123
2023-03-28 21:25:43,126
